TMDb ID,IMDb ID,Type,Name,Release Date,Season Number,Episode Number,Rating,Your Rating,Date Rated
903,tt0061512,movie,Cool Hand Luke,1967-11-01T00:00:00Z,,,7.739,9.0,2018-02-08T00:00:00Z
14836,tt0327597,movie,Coraline,2009-02-05T00:00:00Z,,,7.9,7.0,2024-09-13T00:00:00Z
358332,tt4957236,movie,Cosmos Laundromat,2015-08-10T00:00:00Z,,,6.333,7.0,2019-08-07T00:00:00Z
49849,tt0409847,movie,Cowboys & Aliens,2011-07-29T00:00:00Z,,,5.642,3.0,2015-11-04T00:00:00Z
312221,tt3076658,movie,Creed,2015-11-25T00:00:00Z,,,7.403,6.0,2017-01-16T00:00:00Z
480530,tt6343314,movie,Creed II,2018-11-21T00:00:00Z,,,7.029,6.0,2018-11-25T00:00:00Z
552178,tt9071322,movie,Dark Waters,2019-11-22T00:00:00Z,,,7.535,9.0,2025-10-22T00:00:00Z
399404,tt4555426,movie,Darkest Hour,2017-11-22T00:00:00Z,,,7.355,8.0,2018-01-24T00:00:00Z
387,tt0082096,movie,Das Boot,1981-09-17T00:00:00Z,,,8.085,7.0,2016-09-29T00:00:00Z
582,tt0405094,movie,Das Leben der Anderen,2006-03-23T00:00:00Z,,,8.038,8.0,2025-09-17T00:00:00Z
207,tt0097165,movie,Dead Poets Society,1989-06-02T00:00:00Z,,,8.301,7.0,2016-09-29T00:00:00Z
293660,tt1431045,movie,Deadpool,2016-02-09T00:00:00Z,,,7.622,5.0,2016-03-19T00:00:00Z
383498,tt5463162,movie,Deadpool 2,2018-05-15T00:00:00Z,,,7.488,7.0,2018-05-19T00:00:00Z
114750,tt2235108,movie,Dear White People,2014-10-17T00:00:00Z,,,6.096,2.0,2016-05-18T00:00:00Z
303991,tt1172049,movie,Demolition,2016-04-06T00:00:00Z,,,6.838,8.0,2018-04-17T00:00:00Z
12139,tt0106701,movie,Dennis the Menace,1993-06-09T00:00:00Z,,,5.881,3.0,2018-02-20T00:00:00Z
475094,tt6763252,movie,Der Hauptmann,2018-02-02T00:00:00Z,,,7.193,8.0,2019-10-20T00:00:00Z
144,tt0093191,movie,Der Himmel über Berlin,1987-09-23T00:00:00Z,,,7.769,9.0,2015-11-11T00:00:00Z
490,tt0050976,movie,Det sjunde inseglet,1957-02-16T00:00:00Z,,,8.164,7.0,2015-10-02T00:00:00Z
8592,tt0099422,movie,Dick Tracy,1990-04-05T00:00:00Z,,,6.147,5.0,2015-11-09T00:00:00Z
562,tt0095016,movie,Die Hard,1988-07-15T00:00:00Z,,,7.806,7.0,2018-03-24T00:00:00Z
17654,tt1136608,movie,District 9,2009-08-05T00:00:00Z,,,7.461,9.0,2016-09-29T00:00:00Z
68718,tt1853728,movie,Django Unchained,2012-12-25T00:00:00Z,,,8.187,9.0,2015-10-28T00:00:00Z
284052,tt1211837,movie,Doctor Strange,2016-10-25T00:00:00Z,,,7.417,8.0,2022-05-21T00:00:00Z
646380,tt11286314,movie,Don't Look Up,2021-12-08T00:00:00Z,,,7.062,3.0,2022-03-06T00:00:00Z
141,tt0246578,movie,Donnie Darko,2001-01-19T00:00:00Z,,,7.763,9.0,2015-12-13T00:00:00Z
996,tt0036775,movie,Double Indemnity,1944-07-06T00:00:00Z,,,8.095,8.0,2020-04-03T00:00:00Z
646,tt0055928,movie,Dr. No,1962-10-07T00:00:00Z,,,6.99,8.0,2019-03-12T00:00:00Z
935,tt0057012,movie,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29T00:00:00Z,,,8.126,8.0,2016-09-29T00:00:00Z
64690,tt0780504,movie,Drive,2011-09-15T00:00:00Z,,,7.583,10.0,2016-01-24T00:00:00Z
